id,layer,passed,reason,worst_window_return,worst_window_dd,synth_sharpe,n_windows
voltarget_mom|SPXUSD|lookback48_vol_win24,L3,False,blows up in stress window (worst1),-0.13279175046196212,0.20325160660282482,0.0782673324358014,3
voltarget_mom|USDJPY|lookback48_vol_win24,L3,True,,-0.08651101964282615,0.1092366283713182,0.39085200083146093,3
voltarget_mom|XAUUSD|lookback48_vol_win24,L3,False,blows up in stress window (worst1),-0.13039921398969356,0.16995705868182298,0.08508619560376986,3
voltarget_mom|ETHUSD|lookback48_vol_win24,L3,False,blows up in stress window (covid),-0.5335599768039377,0.6330655824449263,0.5861639464088573,3
voltarget_mom|SPXUSD|lookback48_vol_win72,L3,False,blows up in stress window (worst1),-0.130776059569348,0.20045348108945504,-0.04383343865087825,3
voltarget_mom|USDJPY|lookback48_vol_win72,L3,True,,-0.06386160586124112,0.07502708805519998,0.4008308688599549,3
voltarget_mom|XAUUSD|lookback48_vol_win72,L3,False,blows up in stress window (worst1),-0.1426551672284283,0.17100089082008596,0.16070673057560664,3
voltarget_mom|ETHUSD|lookback48_vol_win72,L3,False,blows up in stress window (covid),-0.5157605487282761,0.6535738786032028,0.7032520873640643,3
voltarget_mom|SPXUSD|lookback48_vol_win168,L3,False,blows up in stress window (worst1),-0.11773897459264793,0.17502015185540354,-0.05367022954684538,3
voltarget_mom|USDJPY|lookback48_vol_win168,L3,True,,-0.06529088540696115,0.07428426821700373,0.3204802417342368,3
voltarget_mom|XAUUSD|lookback48_vol_win168,L3,False,blows up in stress window (worst1),-0.13040722440002073,0.1597717128481222,0.14691312545967983,3
voltarget_mom|ETHUSD|lookback48_vol_win168,L3,False,blows up in stress window (covid),-0.43235529500901226,0.6076971781801445,0.8153702226800849,3
voltarget_mom|SPXUSD|lookback240_vol_win24,L3,False,blows up in stress window (covid),-0.12640047605107307,0.21240896360441186,0.5405582832579471,3
voltarget_mom|USDJPY|lookback240_vol_win24,L3,True,,-0.08112849133995514,0.10096518177088376,0.02968598346816462,3
voltarget_mom|XAUUSD|lookback240_vol_win24,L3,False,blows up in stress window (worst1),-0.17075088642723302,0.2250289363282162,0.06859947208998532,3
